stage,condition,report_role,method,target_mode,loss_mode,eps_pixel,steps,foreground_weight,target_region_clean_match_rate,target_region_match_rate,target_region_change_rate,target_region_accuracy_drop,target_region_clean_accuracy,target_region_adv_accuracy,target_region_pixels,mIoU,mIoU_drop,prediction_change_rate,pixel_accuracy,pixel_accuracy_drop,mean_gt_probability,mean_gt_probability_drop,foreground_to_background_rate,foreground_to_background_rate_increase,max_delta_pixel,mean_delta_pixel,mean_attack_loss,samples
,momentum_pgd_eps4_255_steps10,,momentum_pgd,untargeted,weighted_ce,4.0,10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.5111803999062445,74.72138285462762,0.5007837656381968,49.02730374722867,48.547394211227825,0.4147947850460942,0.4719281260024856,0.734994767031487,0.6699624564933432,4.0,3.293099951099705,4.154655193960345,37
,universal_pgd_eps4_255_train128_epochs2,,universal,untargeted,weighted_ce,4.0,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,69.98397958647138,9.248583668062494,0.020352440911370354,95.91174770045924,1.6629502579972524,0.8375958365363043,0.04912707451227549,0.12050836869305598,0.055476058154912106,4.0,2.223397731781006,0.36595159597896243,37
,pgd_eps4_255_steps10,,pgd,untargeted,weighted_ce,4.0,10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.448342743365365,74.78422051116851,0.4694469555004223,52.079453339447845,45.49524461900865,0.4753046734510241,0.4114182375975557,0.765710061091865,0.7006777505537212,4.0,2.307274077389691,3.468041744586584,37
,pgd_eps6_255_steps10,,pgd,untargeted,weighted_ce,6.0,10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.9805911797236346,75.25197207481024,0.4578056335449219,53.33545787914379,44.23924007931271,0.4603716772980988,0.426351233750481,0.7684223816902894,0.7033900711521456,6.0,3.384701645052111,3.6202783673196226,37
,pgd_fgweight5_eps4_255_steps10,,pgd,untargeted,weighted_ce,4.0,10,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0154978472233696,75.2170654073105,0.4296829636032517,56.30790091849662,41.266797039959876,0.5435158092830632,0.3432071017655166,0.8202191356271855,0.7551868250890417,4.0,2.307445642110464,4.035143074151632,37
,pgd_fgweight8_eps4_255_steps10,,pgd,untargeted,weighted_ce,4.0,10,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.7953776526251253,75.43718560190875,0.37416365339949326,61.91218608134502,35.66251187711148,0.5964776999946382,0.29024521105394163,0.8435149727804506,0.7784826622423068,4.0,2.299159984330873,4.50899609359535,37
,pgd_target_person_to_bg_eps4_255_steps10,,pgd,person_to_background,weighted_ce,4.0,10,5.0,0.04550069725605518,0.9916392468791999,0.9463871182470435,0.9448830674210794,0.9528520089821747,0.007968941561095219,474718,84.79642259417453,-5.563859339640658,0.06751684240392737,94.25841666556694,3.316281292889556,0.9304701734233547,-0.04374726237477489,0.2547233625676432,0.18969105202949935,4.0,2.30902632507118,0.0514706327907137,37
,pgd_target_all_fg_to_person_eps4_255_steps10,,pgd,all_foreground_to_person,weighted_ce,4.0,10,5.0,0.23053964480719147,0.8929178464509115,0.7349689064312778,0.6686060426588348,0.9271816205164818,0.258575577857647,1972112,9.891110154070232,69.34145310046364,0.16355978476034627,83.94786731616871,13.626830642287786,0.8013540506362915,0.0853688604122883,0.08799398817105722,0.022961677632913347,4.0,2.293204958374436,0.293059089699307,37
,pgd_target_non_person_fg_to_person_eps4_255_steps10,,pgd,non_person_foreground_to_person,weighted_ce,4.0,10,5.0,0.0015453514572650886,0.8938308821859845,0.9352655346555415,0.8815188253726141,0.9190433513156858,0.03752452594307176,1497394,9.282172901205557,69.95039035332832,0.16131736136771538,83.94613523741026,13.628562721046237,0.8001539642746384,0.08656894677394145,0.05335701014952498,-0.011675300388618894,4.0,2.2911512271778003,0.31925110337702006,37
,pgd_target_non_person_fg_to_person_eps4_255_steps20,,pgd,non_person_foreground_to_person,weighted_ce,4.0,20,5.0,0.0015453514572650886,0.9813202136511833,0.9855829527833022,0.9174111823608215,0.9190433513156858,0.0016321689548642508,1497394,6.557355159683584,72.67520809485029,0.16865725130648226,83.49983627731736,14.07486168113914,0.8176367572835974,0.0690861537649824,0.013456639379507857,-0.05157567115863602,4.0,2.217091334832681,0.09989112368910699,37
,pgd_target_non_person_fg_to_person_eps6_255_steps10,,pgd,non_person_foreground_to_person,weighted_ce,6.0,10,5.0,0.0015453514572650886,0.9309653972167646,0.9665525573095658,0.9118742294947088,0.9190433513156858,0.007169121820976977,1497394,7.510289017217308,71.72227423731657,0.16932554502744931,83.11552099279456,14.459176965661939,0.7945070613074947,0.0922158497410851,0.04577478358227119,-0.019257526955872684,6.0,3.3740587363371977,0.2574870318577096,37
,pgd_target_non_person_fg_to_person_eps6_255_steps20,,pgd,non_person_foreground_to_person,weighted_ce,6.0,20,5.0,0.0015453514572650886,0.9687169843074034,0.9818778491165318,0.913941821591378,0.9190433513156858,0.005101529724307698,1497394,7.163681428075456,72.06888182645841,0.16832238274651604,83.61343177589211,13.961266182564387,0.8229423874133343,0.06378052363524556,0.02035127822354917,-0.04468103231459471,6.0,3.2340314839337325,0.07329627788449461,37
,pgd_target_all_fg_to_person_eps6_255_steps10,,pgd,all_foreground_to_person,weighted_ce,6.0,10,5.0,0.23053964480719147,0.9252091159122808,0.7448613466172307,0.6769600306676294,0.9271816205164818,0.2502215898488524,1972112,8.806952764043832,70.42561049049004,0.17036726668074326,83.11628393224768,14.458414026208814,0.7906365161006516,0.09608639494792826,0.06373471689234689,-0.001297593645796985,6.0,3.3727784865611308,0.27410640486994303,37
,pgd_target_all_fg_to_person_eps6_255_steps20,,pgd,all_foreground_to_person,weighted_ce,6.0,20,5.0,0.23053964480719147,0.9812414305069894,0.7588341838597402,0.6866308810047299,0.9271816205164818,0.24055073951175188,1972112,6.627895440234157,72.60466781429972,0.17061749020138303,83.4429560480891,14.131741910367396,0.8160442464254998,0.07067866462308003,0.01802635955767218,-0.047005950980471695,6.0,3.233756600199519,0.07956062848805576,37
